AnalysisDate,WomensHealth
9/9/14,3972
10/9/14,8439
11/9/14,9337
12/9/14,5431
1/10/14,4129
2/10/14,7632
3/10/14,10208
4/10/14,14336
5/10/14,7297
6/10/14,10624
7/10/14,37908
8/10/14,25580
9/10/14,30021
10/10/14,24850
11/10/14,30915
12/10/14,28286
1/11/14,48220
2/11/14,66994
3/11/14,54862
4/11/14,62705
5/11/14,59762
6/11/14,55543
7/11/14,56762
8/11/14,73897
9/11/14,59268
10/11/14,45369
11/11/14,58995
12/11/14,46893
1/12/14,61712
2/12/14,289843
3/12/14,238587
4/12/14,87907
5/12/14,78144
6/12/14,75780
7/12/14,120345
8/12/14,302149
9/12/14,158948
10/12/14,250758
11/12/14,160845
12/12/14,96995
1/13/14,206774
2/13/14,164500
3/13/14,185139
4/13/14,176556
5/13/14,179306
6/13/14,183191
7/13/14,188529
8/13/14,146959
9/13/14,151316
10/13/14,181161
11/13/14,174900
12/13/14,146080
1/14/14,198872
