AnalysisDate,WomensHealth
9/1/2009,3972
10/1/2009,8439
11/1/2009,9337
12/1/2009,5431
1/1/2010,4129
2/1/2010,7632
3/1/2010,10208
4/1/2010,14336
5/1/2010,7297
6/1/2010,10624
7/1/2010,37908
8/1/2010,25580
9/1/2010,30021
10/1/2010,24850
11/1/2010,30915
12/1/2010,28286
1/1/2011,48220
2/1/2011,66994
3/1/2011,54862
4/1/2011,62705
5/1/2011,59762
6/1/2011,55543
7/1/2011,56762
8/1/2011,73897
9/1/2011,59268
10/1/2011,45369
11/1/2011,58995
12/1/2011,46893
1/1/2012,61712
2/1/2012,289843
3/1/2012,238587
4/1/2012,87907
5/1/2012,78144
6/1/2012,75780
7/1/2012,120345
8/1/2012,302149
9/1/2012,158948
10/1/2012,250758
11/1/2012,160845
12/1/2012,96995
1/1/2013,206774
2/1/2013,164500
3/1/2013,185139
4/1/2013,176556
5/1/2013,179306
6/1/2013,183191
7/1/2013,188529
8/1/2013,146959
9/1/2013,151316
10/1/2013,181161
11/1/2013,174900
12/1/2013,146080
1/1/2014,198872
